2020-04-27 12:04:551 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:535 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:737 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:799 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:961 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:749 INFO  HomePage :48 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (0d28d32a9baf5e907c5bf635ae08f06f)] -> id: txtUsername]
2020-04-27 12:04:956 INFO  HomePage :54 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (0d28d32a9baf5e907c5bf635ae08f06f)] -> id: txtPassword]
2020-04-27 12:04:174 INFO  HomePage :60 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 12:04:226 INFO  WelcomeAdminPage :26 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (0d28d32a9baf5e907c5bf635ae08f06f)] -> xpath: //a[@id='welcome']]
2020-04-27 12:04:219 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:717 INFO  HomePage :48 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (6b4f0966e884ca5e165638a5e0c0a0c8)] -> id: txtUsername]
2020-04-27 12:04:884 INFO  HomePage :54 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (6b4f0966e884ca5e165638a5e0c0a0c8)] -> id: txtPassword]
2020-04-27 12:04:69 INFO  HomePage :60 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 12:04:114 INFO  WelcomeAdminPage :26 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (6b4f0966e884ca5e165638a5e0c0a0c8)] -> xpath: //a[@id='welcome']]
2020-04-27 12:04:879 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:815 INFO  HomePage :48 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (27bb2ec838aaa3269169b2b0867ccfbc)] -> id: txtUsername]
2020-04-27 12:04:06 INFO  HomePage :54 - Entering Password : admin1236789 [[ChromeDriver: chrome on WINDOWS (27bb2ec838aaa3269169b2b0867ccfbc)] -> id: txtPassword]
2020-04-27 12:04:929 INFO  HomePage :60 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (27bb2ec838aaa3269169b2b0867ccfbc)] -> id: btnLogin]
2020-04-27 12:04:980 INFO  HomePage :65 - Displaying Login Error Message : [[ChromeDriver: chrome on WINDOWS (27bb2ec838aaa3269169b2b0867ccfbc)] -> id: spanMessage]
2020-04-27 12:04:733 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-27 12:04:709 INFO  HomePage :48 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (f70c657cbdb88682abec663462b75581)] -> id: txtUsername]
2020-04-27 12:04:879 INFO  HomePage :54 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (f70c657cbdb88682abec663462b75581)] -> id: txtPassword]
2020-04-27 12:04:938 INFO  HomePage :60 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 12:04:969 INFO  HomePage :38 - Clicking on PIM Link : [[ChromeDriver: chrome on WINDOWS (f70c657cbdb88682abec663462b75581)] -> xpath: //b[contains(text(),'PIM')]]
